variable,level,exp,rmse,corr,bias,stdratio
v,850,mpsbroken,5.663227271294995,0.14675727292655275,-1.843039251182057,0.3877262025194655
v,700,conv,2.330666440890871,0.9431975120288344,0.3484643670682974,0.970701102513681
v,700,convsat,1.794405240420453,0.967176305935944,0.19326447784322318,0.9221068794661178
v,700,noRO,2.4027340256882694,0.9393858425128263,0.3797976662224562,0.9549381566601459
v,700,RO3ch,5.45541654624596,0.6750952794661196,-1.925986772845798,0.7059000707142192
v,700,RObangle,6.081451019568173,0.5308935482142636,-0.859402549175451,0.3299958979736188
v,700,cpu,2.3305857735172397,0.9430915310943516,0.3355792857786686,0.9701676904000223
v,700,mpsbroken,6.9760421277473545,0.2853523806709551,-1.9860834430096652,0.4168753336554546
v,600,conv,2.0358470716245147,0.9596723943144421,0.04427913660347927,1.0381104431823722
v,600,convsat,1.6194728389665949,0.972791875239527,-0.0432061660769992,0.9582044821630539
v,600,noRO,1.976656185595875,0.9610510194841061,-0.034586730519489635,1.023762361123083
v,600,RO3ch,5.75310772617757,0.6322841039363811,-1.8282005900225125,0.7400672783996842
v,600,RObangle,6.075285729433011,0.5246040829443197,-0.41879395727659013,0.349907830079816
v,600,cpu,2.0446021556143146,0.9592991169874272,0.03394213021004939,1.0379591863069213
v,600,mpsbroken,7.966563935432231,0.16878879835961283,-2.7144367480894998,0.5953590647480035
v,500,conv,2.4064327765399565,0.9388482645692655,-0.37948929448203295,1.061879910932328
v,500,convsat,1.9827154208569044,0.9541442122693431,-0.20423402552534206,1.0039529677677759
v,500,noRO,2.444471312789611,0.9389733470374729,-0.4717987718660197,1.0726893664085784
v,500,RO3ch,5.94455077423599,0.5475898278821026,-1.8758778935843639,0.778287528471673
v,500,RObangle,6.157887667559975,0.40353568136873175,-1.5844086337589747,0.3686275675417166
v,500,cpu,2.415164136749792,0.9385403681416365,-0.3952592549119116,1.062096993332301
v,500,mpsbroken,8.207577971510622,0.20655930623410007,-3.865505553070979,0.739341789027112
v,400,conv,2.458381987464855,0.9270629326777026,-0.07271943847079163,0.9641203149361579
v,400,convsat,1.955122586125017,0.9546660034997261,0.2053329207042116,0.9391203453170093
v,400,noRO,2.4182583870394745,0.932075565307348,-0.16098093541893127,1.0069658338480505
v,400,RO3ch,6.199942386328965,0.44377830507348776,-0.14090568047475618,0.7599473241931671
v,400,RObangle,6.472338260347827,0.27709874305184123,-1.3582986034352418,0.41142380764212566
v,400,cpu,2.466910738929466,0.926645108470594,-0.08614638677482761,0.9658360057258584
v,400,mpsbroken,7.624392451089155,0.24344097778237891,-2.346375209627813,0.7876840947811118
v,300,conv,2.647076913679021,0.9382148411991971,-0.15762107086765503,0.999190208097273
v,300,convsat,2.1112177374261702,0.9600767767436771,-0.07774156827485179,0.938600786174468
v,300,noRO,2.698132631400353,0.9387747584073884,-0.07183376787097454,1.0384893559649881
v,300,RO3ch,7.117996067405046,0.3956230677372205,1.002295892698508,0.581941589489832
v,300,RObangle,8.103685415918479,0.1022726628652788,-1.7745637864197206,0.4429461459224133
v,300,cpu,2.656815902998696,0.9379090781151067,-0.1708268302114123,1.0010049584524294
v,300,mpsbroken,8.164512434398,0.24838940863184084,0.2682672724232131,0.7374800908025156
v,250,conv,3.0703608917969865,0.9334748899358994,0.2136269134113305,1.0194671355404517
v,250,convsat,2.2056354034711885,0.9650633389547469,0.35984522148527365,0.9669412445047117
v,250,noRO,3.159831181243671,0.9318448089187557,0.21797165918004363,1.0432390714963307
v,250,RO3ch,7.783485426731474,0.39661716684465365,1.2627817947434634,0.5086668644193207
v,250,RObangle,9.831778319291422,-0.14367509042118828,-2.073567328871399,0.4561611361411404
v,250,cpu,3.0814224331557423,0.9331422797224886,0.19319557374525878,1.0219169008692135
v,250,mpsbroken,10.441666006759135,-0.0670838488016992,2.0167515875200785,0.6583816604710655
v,200,conv,3.144436220989665,0.9083165009831318,0.17119882206834988,1.0322387567933329
v,200,convsat,2.08301686318554,0.9585943293737331,0.28019538221520673,0.9246294169707197
v,200,noRO,3.231683373028385,0.906729286262859,-0.04186479248147135,1.0608315922590905
v,200,RO3ch,7.404699837668675,0.22236165536142247,1.1168963210303042,0.5119813478724708
v,200,RObangle,9.094391848131883,-0.2341532676400766,-0.7650259518509053,0.566006387628073
v,200,cpu,3.1362700046834844,0.9090354913702182,0.14832571023638458,1.034790423637275
v,200,mpsbroken,11.601409333723808,-0.469811254582466,3.0601485820181553,0.8101604525050369
v,150,conv,3.319058004664001,0.8439888291265644,0.5063683225522487,0.9631185422817967
v,150,convsat,2.764216299838042,0.8961514420745809,0.4814701501629421,0.7914795603555019
v,150,noRO,3.412598096727729,0.84153017297333,0.1429424190293721,1.0268261206939964
v,150,RO3ch,7.084483488311261,0.04869824361001702,2.026655112854809,0.5920787406987371
v,150,RObangle,8.722760137301572,-0.3853096120359324,3.4010450707376547,0.5937808706517843
v,150,cpu,3.3205905331834757,0.8433839527251437,0.47590591941254057,0.9629507591149187
v,150,mpsbroken,12.175522580105156,-0.6478343714394424,5.09381597380517,1.0406062846460107
v,100,conv,2.9874881980476786,0.7569705136479724,-1.3152452249903668,0.9472729910701594
v,100,convsat,2.692068977035316,0.7582838301419205,-0.7445461399321229,0.8348755354223085
v,100,noRO,3.932739581813833,0.7014069808331505,-2.1127023713133664,1.148971349862514
v,100,RO3ch,5.349690214933687,-0.261082769545406,-0.4572789061363632,0.6860903336935497
v,100,RObangle,5.640737506108555,-0.48039253696957274,1.1578970649870886,0.6117729264918763
v,100,cpu,2.9864952527821935,0.7569584785825929,-1.305542916006432,0.9504834358506506
v,100,mpsbroken,6.53803400717616,-0.33336838116178713,-0.6025441941129481,1.0229645538312113
v,50,conv,2.1403771489729535,0.4997694686315716,-0.714167931004701,0.6662331800151329
v,50,convsat,2.0065580523008855,0.5305140428100485,0.23526725814053756,0.7310851702732789
v,50,noRO,2.3507902533107634,0.35863483307473465,-0.9382984111247602,0.4865533645613035
v,50,RO3ch,2.0754587322167803,0.48823642404379897,-0.28919419477875524,0.7015375986938177
v,50,RObangle,2.351912286681594,0.15428489016348015,0.3886615863750642,0.38215177472927353
v,50,cpu,2.141949351302461,0.49541941009410556,-0.6982914255275224,0.6655740873995901
v,50,mpsbroken,2.881640326170697,-0.08102402286728165,-1.3246168827097915,0.42693839828593005
z,1000,conv,77.93050062554258,0.9620058311330417,-9.981315466969003,0.9631344455467427
z,1000,convsat,59.24598800683474,0.9802241907162652,-12.736973311036273,0.9290514130386207
z,1000,noRO,90.46251142156808,0.9485514287962387,-12.143022018560593,0.9544086694840145
z,1000,RO3ch,238.969886336807,0.7492256283262901,52.043446995596476,1.2393211946505178
z,1000,RObangle,287.33765475677154,0.4896088641778313,116.2685365880947,0.8079646045389764
z,1000,cpu,77.48053059305549,0.96258604372886,-10.905933899038775,0.960524977065695
z,1000,mpsbroken,250.38575922864248,0.6290790683763277,72.20710063015777,0.9653007782392371
z,925,conv,74.54039170575061,0.9616081792102608,-35.65082758644688,0.9489560801655734
z,925,convsat,53.32049518105901,0.9780515838004891,-17.319003037742224,0.9409996240372605
z,925,noRO,89.47625816299777,0.9455747007984079,-44.64181349363046,0.9423212947634726
z,925,RO3ch,237.1025131496412,0.6040881826474471,-8.70514832601153,1.19877862906663
z,925,RObangle,261.9345017326598,0.28038906026149557,46.415875140322285,0.7793738005683023
z,925,cpu,74.56509088363254,0.9621003445132702,-36.390626559435596,0.9468327892147927
z,925,mpsbroken,240.02090258765284,0.39156546685077415,-9.226464065855268,0.7995062796724344
z,850,conv,94.63274859656104,0.9620281394922964,-73.37790203704148,0.9521444216238459
z,850,convsat,51.431926084038906,0.9791979908094022,-25.449428892362235,0.9555713443222459
z,850,noRO,113.50271698439012,0.9467734614869823,-89.00301282921158,0.9419893755840072
z,850,RO3ch,258.1388043968507,0.4631540735280214,-101.86003406684,1.087489544747562
z,850,RObangle,261.33017588129366,0.11922671425155473,-60.658179249426,0.7225604816891886
z,850,cpu,94.91741794170656,0.9623352432194534,-73.92593494674094,0.9509565377491217
z,850,mpsbroken,286.74571335252085,0.06786919045598203,-132.18845167277686,0.6655553023204938
